base_date,emd_cd,em_cnt,em_g
2019-05-31,2019-05-31,50110610,51980,101518950
2019-06-30,2019-06-30,50110610,56050,109558700
2019-07-31,2019-07-31,50110610,63531,127378250
2019-08-31,2019-08-31,50110610,63800,118668400
2019-09-30,2019-09-30,50110610,58756,108093245
2019-10-31,2019-10-31,50110610,53732,92665885
2019-11-30,2019-11-30,50110610,50101,93866750
2019-12-31,2019-12-31,50110610,49182,102451450
2020-01-31,2020-01-31,50110610,49621,108895450
2020-02-29,2020-02-29,50110610,47844,103103700
2020-03-31,2020-03-31,50110610,53093,109838850
2020-04-30,2020-04-30,50110610,48902,95539210
2020-05-31,2020-05-31,50110610,55436,104476200
2020-06-30,2020-06-30,50110610,47912,89653250
2020-07-31,2020-07-31,50110610,60173,110306150
2020-08-31,2020-08-31,50110610,60258,110548100
2020-09-30,2020-09-30,50110610,52094,88975450
2020-10-31,2020-10-31,50110610,49636,86136310
2020-11-30,2020-11-30,50110610,43932,84711750
2020-12-31,2020-12-31,50110610,46912,97844950
2021-01-31,2021-01-31,50110610,45538,94467640
2021-02-28,2021-02-28,50110610,38048,80428320
2021-03-31,2021-03-31,50110610,42531,87197200
2021-04-30,2021-04-30,50110610,43813,84829840
2021-05-31,2021-05-31,50110610,49969,93122870
2021-06-30,2021-06-30,50110610,52430,96172500
2018-01-31,2018-01-31,50110620,3709,10390450
2018-02-28,2018-02-28,50110620,3511,9991650
2018-03-31,2018-03-31,50110620,3851,10577250
2018-04-30,2018-04-30,50110620,3984,10487400
2018-05-31,2018-05-31,50110620,4727,11513550
2018-06-30,2018-06-30,50110620,5177,11721950
2018-07-31,2018-07-31,50110620,6289,14849800
2018-08-31,2018-08-31,50110620,6120,14493600
2018-09-30,2018-09-30,50110620,5883,13159300
2018-10-31,2018-10-31,50110620,5437,12044850
2018-11-30,2018-11-30,50110620,5042,12438750
2018-12-31,2018-12-31,50110620,6800,15268450
2019-01-31,2019-01-31,50110620,7395,15822450
2019-02-28,2019-02-28,50110620,7161,15840150
2019-03-31,2019-03-31,50110620,7373,15534700
2019-04-30,2019-04-30,50110620,7343,15217800
2019-05-31,2019-05-31,50110620,8453,16219600
2019-06-30,2019-06-30,50110620,8928,16879500
2019-07-31,2019-07-31,50110620,10208,20094100
2019-08-31,2019-08-31,50110620,9645,17698900
2019-09-30,2019-09-30,50110620,9301,16732150
2019-10-31,2019-10-31,50110620,8754,14864800
2019-11-30,2019-11-30,50110620,8296,15031050
2019-12-31,2019-12-31,50110620,7950,15966250
2020-01-31,2020-01-31,50110620,8060,16561850
2020-02-29,2020-02-29,50110620,7796,15622400
2020-03-31,2020-03-31,50110620,8563,15780450
2020-04-30,2020-04-30,50110620,8157,14598650
2020-05-31,2020-05-31,50110620,9086,15886600
2020-06-30,2020-06-30,50110620,8841,16575149
2020-07-31,2020-07-31,50110620,10706,18891000
2020-08-31,2020-08-31,50110620,10745,19456900
2020-09-30,2020-09-30,50110620,9477,15629750
2020-10-31,2020-10-31,50110620,9248,15425650
2020-11-30,2020-11-30,50110620,8097,14457800
2020-12-31,2020-12-31,50110620,8207,15685200
2021-01-31,2021-01-31,50110620,7966,15180900
2021-02-28,2021-02-28,50110620,6496,12899650
2021-03-31,2021-03-31,50110620,7480,13873900
2021-04-30,2021-04-30,50110620,7564,13278500
2021-05-31,2021-05-31,50110620,9026,15601950
2021-06-30,2021-06-30,50110620,9426,16048700
2018-01-31,2018-01-31,50110630,51381,120076450
2018-02-28,2018-02-28,50110630,47792,113409350
2018-03-31,2018-03-31,50110630,56005,126600400
2018-04-30,2018-04-30,50110630,57187,120009900
2018-05-31,2018-05-31,50110630,62967,125428550
2018-06-30,2018-06-30,50110630,66807,131746050
2018-07-31,2018-07-31,50110630,80137,160430750
2018-08-31,2018-08-31,50110630,77120,150581150
2018-09-30,2018-09-30,50110630,70843,128068300
2018-10-31,2018-10-31,50110630,65156,121516250
2018-11-30,2018-11-30,50110630,61326,124576750
2018-12-31,2018-12-31,50110630,60275,134846400
2019-01-31,2019-01-31,50110630,58479,131907350
2019-02-28,2019-02-28,50110630,54591,125788600
2019-03-31,2019-03-31,50110630,57211,125495000
2019-04-30,2019-04-30,50110630,56440,116138550
2019-05-31,2019-05-31,50110630,64629,128605265
2019-06-30,2019-06-30,50110630,66456,129864113
2019-07-31,2019-07-31,50110630,73778,146464000
2019-08-31,2019-08-31,50110630,73928,141699350
2019-09-30,2019-09-30,50110630,68472,125690350
2019-10-31,2019-10-31,50110630,64201,111021800
2019-11-30,2019-11-30,50110630,59590,113050500
2019-12-31,2019-12-31,50110630,58317,120968950
2020-01-31,2020-01-31,50110630,50934,110772750
2020-02-29,2020-02-29,50110630,55782,117567400
2020-03-31,2020-03-31,50110630,63040,125026900
2020-04-30,2020-04-30,50110630,58275,111515050
2020-05-31,2020-05-31,50110630,66911,125904100
2020-06-30,2020-06-30,50110630,60043,112703700
2020-07-31,2020-07-31,50110630,74456,139674450
2020-08-31,2020-08-31,50110630,74924,141323900
2020-09-30,2020-09-30,50110630,62672,108428100
2020-10-31,2020-10-31,50110630,59808,105955960
2020-11-30,2020-11-30,50110630,55773,107873600
2020-12-31,2020-12-31,50110630,58078,119343000
2021-01-31,2021-01-31,50110630,55238,115795850
2021-02-28,2021-02-28,50110630,49746,104113000
2021-03-31,2021-03-31,50110630,51813,105042100
2021-04-30,2021-04-30,50110630,50260,94682900
2021-05-31,2021-05-31,50110630,57174,107045700
2021-06-30,2021-06-30,50110630,60530,112190800
2018-01-31,2018-01-31,50110640,21959,54526600
2018-02-28,2018-02-28,50110640,20462,51631850
2018-03-31,2018-03-31,50110640,22804,55909700
2018-04-30,2018-04-30,50110640,22516,52750250
2018-05-31,2018-05-31,50110640,25575,55474400
2018-06-30,2018-06-30,50110640,28124,60373450
2018-07-31,2018-07-31,50110640,34220,73072800
2018-08-31,2018-08-31,50110640,32538,68955750
2018-09-30,2018-09-30,50110640,29839,57673000
2018-10-31,2018-10-31,50110640,27793,55131400
2018-11-30,2018-11-30,50110640,25873,55900850
2018-12-31,2018-12-31,50110640,25950,61793000
2019-01-31,2019-01-31,50110640,25403,60950700
2019-02-28,2019-02-28,50110640,24220,58486400
2019-03-31,2019-03-31,50110640,25569,59515150
2019-04-30,2019-04-30,50110640,25365,55311750
2019-05-31,2019-05-31,50110640,28760,59584800
2019-06-30,2019-06-30,50110640,30830,62850300
2019-07-31,2019-07-31,50110640,35209,73058550
2019-08-31,2019-08-31,50110640,35696,70181500
2019-09-30,2019-09-30,50110640,35307,66121150
2019-10-31,2019-10-31,50110640,31604,56696450
2019-11-30,2019-11-30,50110640,27070,55212450
2019-12-31,2019-12-31,50110640,26760,59647100
2020-01-31,2020-01-31,50110640,26824,62218300
2020-02-29,2020-02-29,50110640,25411,57683650
2020-03-31,2020-03-31,50110640,27508,59354850
2020-04-30,2020-04-30,50110640,25770,53100000
2020-05-31,2020-05-31,50110640,29580,59632400
2020-06-30,2020-06-30,50110640,29489,58819899
2020-07-31,2020-07-31,50110640,35077,67532450
2020-08-31,2020-08-31,50110640,36243,70038100
2020-09-30,2020-09-30,50110640,30978,56426750
2020-10-31,2020-10-31,50110640,30489,56171250
2020-11-30,2020-11-30,50110640,27827,55021000
2020-12-31,2020-12-31,50110640,29036,62629100
2021-01-31,2021-01-31,50110640,27858,60085650
2021-02-28,2021-02-28,50110640,22967,50073100
2021-03-31,2021-03-31,50110640,25401,53931150
2021-04-30,2021-04-30,50110640,25765,51424200
2021-05-31,2021-05-31,50110640,29350,57321800
2021-06-30,2021-06-30,50110640,30482,58187300
2018-01-31,2018-01-31,50110650,87893,206889500
2018-02-28,2018-02-28,50110650,80743,191655500
2018-03-31,2018-03-31,50110650,90628,209706300
2018-04-30,2018-04-30,50110650,90536,196002700
2018-05-31,2018-05-31,50110650,99607,201843450
2018-06-30,2018-06-30,50110650,106320,210002200
2018-07-31,2018-07-31,50110650,127759,253462200
2018-08-31,2018-08-31,50110650,121127,236127850
2018-09-30,2018-09-30,50110650,112172,206187100
2018-10-31,2018-10-31,50110650,103328,194120950
2018-11-30,2018-11-30,50110650,96205,196586350
2018-12-31,2018-12-31,50110650,92782,211932650
2019-01-31,2019-01-31,50110650,90183,203753650
2019-02-28,2019-02-28,50110650,83752,191881450
2019-03-31,2019-03-31,50110650,86765,192251450
2019-04-30,2019-04-30,50110650,87345,184190350
2019-05-31,2019-05-31,50110650,99507,197044200
2019-06-30,2019-06-30,50110650,104813,204564100
2019-07-31,2019-07-31,50110650,117094,230929350
2019-08-31,2019-08-31,50110650,118698,228375261
2019-09-30,2019-09-30,50110650,108349,202175700
2019-10-31,2019-10-31,50110650,102100,182421200
2019-11-30,2019-11-30,50110650,94404,183488850
2019-12-31,2019-12-31,50110650,91744,199559550
2020-01-31,2020-01-31,50110650,77081,173357100
2020-02-29,2020-02-29,50110650,86995,184990350
2020-03-31,2020-03-31,50110650,96062,193495350
2020-04-30,2020-04-30,50110650,89161,173115250
2020-05-31,2020-05-31,50110650,102397,193430500
2020-06-30,2020-06-30,50110650,93671,174126550
2020-07-31,2020-07-31,50110650,118315,217649050
2020-08-31,2020-08-31,50110650,123257,227439000
2020-09-30,2020-09-30,50110650,109284,187614200
2020-10-31,2020-10-31,50110650,103635,181125650
2020-11-30,2020-11-30,50110650,93837,180737600
2020-12-31,2020-12-31,50110650,96956,195632400
2021-01-31,2021-01-31,50110650,92675,186455350
2021-02-28,2021-02-28,50110650,85077,175310650
2021-03-31,2021-03-31,50110650,90560,183660400
2021-04-30,2021-04-30,50110650,87258,167509250
2021-05-31,2021-05-31,50110650,98129,181776100
2021-06-30,2021-06-30,50110650,105468,189432610
2018-01-31,2018-01-31,50110660,113990,265018400
2018-02-28,2018-02-28,50110660,103571,243744900
2018-03-31,2018-03-31,50110660,117835,268625650
2018-04-30,2018-04-30,50110660,116559,248898350
2018-05-31,2018-05-31,50110660,129778,259232500
2018-06-30,2018-06-30,50110660,138587,272193365
2018-07-31,2018-07-31,50110660,166509,327483750
2018-08-31,2018-08-31,50110660,159491,306231800
2018-09-30,2018-09-30,50110660,144302,259310550
2018-10-31,2018-10-31,50110660,134077,244370750
2018-11-30,2018-11-30,50110660,124342,246249750
2018-12-31,2018-12-31,50110660,123178,273200900
2019-01-31,2019-01-31,50110660,116979,260492900
2019-02-28,2019-02-28,50110660,111835,251290500
2019-03-31,2019-03-31,50110660,115276,249789350
2019-04-30,2019-04-30,50110660,115179,237397550
2019-05-31,2019-05-31,50110660,127025,249305400
2019-06-30,2019-06-30,50110660,133924,258025550
2019-07-31,2019-07-31,50110660,151462,295221200
2019-08-31,2019-08-31,50110660,152487,285216650
2019-09-30,2019-09-30,50110660,139536,253510600
2019-10-31,2019-10-31,50110660,129982,223797811
2019-11-30,2019-11-30,50110660,121182,230736200
2019-12-31,2019-12-31,50110660,117990,247186350
2020-01-31,2020-01-31,50110660,108198,234382600
2020-02-29,2020-02-29,50110660,112953,241766400
2020-03-31,2020-03-31,50110660,125089,255138700
2020-04-30,2020-04-30,50110660,116837,226073450
2020-05-31,2020-05-31,50110660,132995,249341150
2020-06-30,2020-06-30,50110660,122308,226997876
2020-07-31,2020-07-31,50110660,154741,278924650
2020-08-31,2020-08-31,50110660,161492,290691050
2020-09-30,2020-09-30,50110660,139314,232960150
2020-10-31,2020-10-31,50110660,135035,232088700
2020-11-30,2020-11-30,50110660,123836,231329350
2020-12-31,2020-12-31,50110660,127389,255413000
2021-01-31,2021-01-31,50110660,120758,247444300
2021-02-28,2021-02-28,50110660,108469,227399950
2021-03-31,2021-03-31,50110660,115113,232733500
2021-04-30,2021-04-30,50110660,110768,212851000
2021-05-31,2021-05-31,50110660,123524,227061100
2021-06-30,2021-06-30,50110660,133924,239069250
2018-01-31,2018-01-31,50110670,40581,95864700
2018-02-28,2018-02-28,50110670,37306,88582050
2018-03-31,2018-03-31,50110670,42208,97356250
2018-04-30,2018-04-30,50110670,41487,88844750
2018-05-31,2018-05-31,50110670,46513,94064300
2018-06-30,2018-06-30,50110670,50174,100357550
2018-07-31,2018-07-31,50110670,61048,124292900
2018-08-31,2018-08-31,50110670,57730,115475450
2018-09-30,2018-09-30,50110670,53099,97489600
2018-10-31,2018-10-31,50110670,49457,93525200
2018-11-30,2018-11-30,50110670,45494,94443250
2018-12-31,2018-12-31,50110670,45089,101745450
2019-01-31,2019-01-31,50110670,43374,97317450
2019-02-28,2019-02-28,50110670,40796,93201100
2019-03-31,2019-03-31,50110670,42783,93075950
2019-04-30,2019-04-30,50110670,42723,87075650
2019-05-31,2019-05-31,50110670,47726,92812950
2019-06-30,2019-06-30,50110670,50593,97149950
2019-07-31,2019-07-31,50110670,56477,112283300
2019-08-31,2019-08-31,50110670,57207,107713250
2019-09-30,2019-09-30,50110670,52843,96168350
2019-10-31,2019-10-31,50110670,49311,85114050
2019-11-30,2019-11-30,50110670,45676,86091200
2019-12-31,2019-12-31,50110670,44655,92350950
2020-01-31,2020-01-31,50110670,41858,92336746
2020-02-29,2020-02-29,50110670,43481,94108700
2020-03-31,2020-03-31,50110670,48054,98399600
2020-04-30,2020-04-30,50110670,45059,89160650
2020-05-31,2020-05-31,50110670,50993,98045200
2020-06-30,2020-06-30,50110670,46765,88248849
2020-07-31,2020-07-31,50110670,59199,111732950
2020-08-31,2020-08-31,50110670,58718,110243800
2020-09-30,2020-09-30,50110670,51461,88884250
2020-10-31,2020-10-31,50110670,49949,89881050
2020-11-30,2020-11-30,50110670,45238,88486000
2020-12-31,2020-12-31,50110670,46892,98028250
2021-01-31,2021-01-31,50110670,45127,96402550
2021-02-28,2021-02-28,50110670,39492,84339150
2021-03-31,2021-03-31,50110670,43893,90926700
2021-04-30,2021-04-30,50110670,45171,89457350
2021-05-31,2021-05-31,50110670,50516,97421950
2021-06-30,2021-06-30,50110670,53226,100096900
2018-01-31,2018-01-31,50110680,6890,17513450
2018-02-28,2018-02-28,50110680,6487,16209850
2018-03-31,2018-03-31,50110680,7202,18059150
2018-04-30,2018-04-30,50110680,7355,17653400
2018-05-31,2018-05-31,50110680,8384,18423750
2018-06-30,2018-06-30,50110680,9378,20108550
2018-07-31,2018-07-31,50110680,11524,24586600
2018-08-31,2018-08-31,50110680,10874,23119700
2018-09-30,2018-09-30,50110680,9990,19464750
2018-10-31,2018-10-31,50110680,9009,18088600
2018-11-30,2018-11-30,50110680,8273,18173250
2018-12-31,2018-12-31,50110680,7857,19062100
2019-01-31,2019-01-31,50110680,7845,19278750
2019-02-28,2019-02-28,50110680,7603,18806000
2019-03-31,2019-03-31,50110680,7900,18573500
2019-04-30,2019-04-30,50110680,8221,18478550
2019-05-31,2019-05-31,50110680,9280,20127650
2019-06-30,2019-06-30,50110680,10131,21368200
2019-07-31,2019-07-31,50110680,11623,25321400
2019-08-31,2019-08-31,50110680,11645,24983650
2019-09-30,2019-09-30,50110680,10648,22081450
2019-10-31,2019-10-31,50110680,9695,19865800
2019-11-30,2019-11-30,50110680,8809,20064600
2019-12-31,2019-12-31,50110680,8373,20094800
2020-01-31,2020-01-31,50110680,8681,23302900
2020-02-29,2020-02-29,50110680,8372,21174500
2020-03-31,2020-03-31,50110680,9196,21279150
2020-04-30,2020-04-30,50110680,8327,18466400
2020-05-31,2020-05-31,50110680,9975,21388150
2020-06-30,2020-06-30,50110680,8996,18843700
2020-07-31,2020-07-31,50110680,11940,24443100
2020-08-31,2020-08-31,50110680,12158,26576100
2020-09-30,2020-09-30,50110680,10064,19857650
2020-10-31,2020-10-31,50110680,10220,21155300
2020-11-30,2020-11-30,50110680,9071,20030450
2020-12-31,2020-12-31,50110680,9161,20953200
2021-01-31,2021-01-31,50110680,8663,19924750
2021-02-28,2021-02-28,50110680,6817,16235200
2021-03-31,2021-03-31,50110680,7967,18808700
2021-04-30,2021-04-30,50110680,8655,19633000
2021-05-31,2021-05-31,50110680,9544,20363000
2021-06-30,2021-06-30,50110680,10497,21586550
2018-01-31,2018-01-31,50110690,5338,14694200
2018-02-28,2018-02-28,50110690,4940,14004850
2018-03-31,2018-03-31,50110690,5648,15804550
2018-04-30,2018-04-30,50110690,5572,14904200
2018-05-31,2018-05-31,50110690,6253,15476250
2018-06-30,2018-06-30,50110690,6760,16682350
2018-07-31,2018-07-31,50110690,8109,19566250
2018-08-31,2018-08-31,50110690,7809,18073950
2018-09-30,2018-09-30,50110690,7408,16785750
2018-10-31,2018-10-31,50110690,6888,16677600
2018-11-30,2018-11-30,50110690,6403,15927400
2018-12-31,2018-12-31,50110690,6233,16824600
2019-01-31,2019-01-31,50110690,5913,15314350
2019-02-28,2019-02-28,50110690,5621,14416750
2019-03-31,2019-03-31,50110690,5700,15020400
2019-04-30,2019-04-30,50110690,5888,15270900
2019-05-31,2019-05-31,50110690,6704,16476700
2019-06-30,2019-06-30,50110690,7195,16892650
2019-07-31,2019-07-31,50110690,8407,20124150
2019-08-31,2019-08-31,50110690,8766,20959850
2019-09-30,2019-09-30,50110690,7896,18552500
2019-10-31,2019-10-31,50110690,7376,18124000
2019-11-30,2019-11-30,50110690,6909,18902350
2019-12-31,2019-12-31,50110690,6527,17385050
2020-01-31,2020-01-31,50110690,6581,18797900
2020-02-29,2020-02-29,50110690,6079,16045750
2020-03-31,2020-03-31,50110690,6373,16070150
2020-04-30,2020-04-30,50110690,5890,14195400
2020-05-31,2020-05-31,50110690,6872,16621200
2020-06-30,2020-06-30,50110690,6829,16569750
2020-07-31,2020-07-31,50110690,8482,20972600
2020-08-31,2020-08-31,50110690,8578,21004750
2020-09-30,2020-09-30,50110690,7432,16956300
2020-10-31,2020-10-31,50110690,7681,18218650
2020-11-30,2020-11-30,50110690,7114,18714300
2020-12-31,2020-12-31,50110690,6863,17619050
2021-01-31,2021-01-31,50110690,6898,17814850
2021-02-28,2021-02-28,50110690,5969,15402250
2021-03-31,2021-03-31,50110690,6681,17504100
2021-04-30,2021-04-30,50110690,6926,17377150
2021-05-31,2021-05-31,50110690,8298,19663550
2021-06-30,2021-06-30,50110690,8749,19733350
2018-01-31,2018-01-31,50130250,10185,38885550
2018-02-28,2018-02-28,50130250,9530,36731400
2018-03-31,2018-03-31,50130250,11087,43941150
2018-04-30,2018-04-30,50130250,11311,41431100
2018-05-31,2018-05-31,50130250,12810,43391800
2018-06-30,2018-06-30,50130250,13202,44202200
2018-07-31,2018-07-31,50130250,13985,50247200
2018-08-31,2018-08-31,50130250,15985,53799900
2018-09-30,2018-09-30,50130250,15276,50900300
2018-10-31,2018-10-31,50130250,13956,47706650
2018-11-30,2018-11-30,50130250,13481,49818000
2018-12-31,2018-12-31,50130250,12238,52109450
2019-01-31,2019-01-31,50130250,15727,59920500
2019-02-28,2019-02-28,50130250,17555,64507450
2019-03-31,2019-03-31,50130250,20864,74448950
2019-04-30,2019-04-30,50130250,22208,76326749
2019-05-31,2019-05-31,50130250,28406,89408798
2019-06-30,2019-06-30,50130250,29856,94718850
2019-07-31,2019-07-31,50130250,29752,99189650
2019-08-31,2019-08-31,50130250,36484,105859200
2019-09-30,2019-09-30,50130250,22135,51079250
2019-10-31,2019-10-31,50130250,29849,77633150
2019-11-30,2019-11-30,50130250,33506,99774700
2019-12-31,2019-12-31,50130250,30188,102687000
2020-01-31,2020-01-31,50130250,30696,104173150
2020-02-29,2020-02-29,50130250,31001,97979349
2020-03-31,2020-03-31,50130250,32870,103538750
2020-04-30,2020-04-30,50130250,31888,95039599
2020-05-31,2020-05-31,50130250,37916,110405348
2020-06-30,2020-06-30,50130250,36214,103177347
2020-07-31,2020-07-31,50130250,34439,99259041
2020-08-31,2020-08-31,50130250,40025,108944848
2020-09-30,2020-09-30,50130250,38067,92630549
2020-10-31,2020-10-31,50130250,36538,96266900
2020-11-30,2020-11-30,50130250,34724,100047750
2020-12-31,2020-12-31,50130250,35493,107058050
2021-01-31,2021-01-31,50130250,35084,105314800
2021-02-28,2021-02-28,50130250,32472,99042750
2021-03-31,2021-03-31,50130250,36061,105467100
2021-04-30,2021-04-30,50130250,35556,101782450
2021-05-31,2021-05-31,50130250,42373,113929800
2021-06-30,2021-06-30,50130250,41806,109850800
2018-01-31,2018-01-31,50130253,9570,42437700
2018-02-28,2018-02-28,50130253,8588,37088050
2018-03-31,2018-03-31,50130253,10072,42988350
2018-04-30,2018-04-30,50130253,10001,42703500
2018-05-31,2018-05-31,50130253,11153,42616750
2018-06-30,2018-06-30,50130253,11733,42287450
2018-07-31,2018-07-31,50130253,13599,49758400
2018-08-31,2018-08-31,50130253,13714,49571700
2018-09-30,2018-09-30,50130253,12365,45419400
2018-10-31,2018-10-31,50130253,11662,44434300
2018-11-30,2018-11-30,50130253,10756,45008000
2018-12-31,2018-12-31,50130253,11501,48961900
2019-01-31,2019-01-31,50130253,10629,45272000
2019-02-28,2019-02-28,50130253,7080,27809150
2019-03-31,2019-03-31,50130253,4749,17810750
2019-04-30,2019-04-30,50130253,4902,16786800
2019-05-31,2019-05-31,50130253,12716,45550300
2019-06-30,2019-06-30,50130253,16410,58575550
2019-07-31,2019-07-31,50130253,18048,64063450
2019-08-31,2019-08-31,50130253,19078,66347550
2019-09-30,2019-09-30,50130253,17315,57377000
2019-10-31,2019-10-31,50130253,16754,57174300
2019-11-30,2019-11-30,50130253,15041,55376450
2019-12-31,2019-12-31,50130253,14964,60409100
2020-01-31,2020-01-31,50130253,15805,68767000
2020-02-29,2020-02-29,50130253,14605,61501550
2020-03-31,2020-03-31,50130253,16239,62658150
2020-04-30,2020-04-30,50130253,15672,59824450
2020-05-31,2020-05-31,50130253,17574,63544800
2020-06-30,2020-06-30,50130253,18020,63109150
2020-07-31,2020-07-31,50130253,19042,67019150
2020-08-31,2020-08-31,50130253,19399,71615800
2020-09-30,2020-09-30,50130253,16302,56561100
2020-10-31,2020-10-31,50130253,15179,57684950
2020-11-30,2020-11-30,50130253,12979,53573900
2020-12-31,2020-12-31,50130253,14848,60576700
2021-01-31,2021-01-31,50130253,14101,56595100
2021-02-28,2021-02-28,50130253,13816,56178800
2021-03-31,2021-03-31,50130253,14974,62602150
2021-04-30,2021-04-30,50130253,15199,61957700
2021-05-31,2021-05-31,50130253,16071,59816600
2021-06-30,2021-06-30,50130253,17330,62927050
2018-01-31,2018-01-31,50130259,2456,11343100
2018-02-28,2018-02-28,50130259,2323,10137100
2018-03-31,2018-03-31,50130259,2756,13681050
2018-04-30,2018-04-30,50130259,2713,14115500
2018-05-31,2018-05-31,50130259,3232,14259700
2018-06-30,2018-06-30,50130259,3240,14160700
2018-07-31,2018-07-31,50130259,3449,15918350
2018-08-31,2018-08-31,50130259,3282,16154350
2018-09-30,2018-09-30,50130259,2835,13481700
2018-10-31,2018-10-31,50130259,2800,13774800
2018-11-30,2018-11-30,50130259,2879,13387450
2018-12-31,2018-12-31,50130259,2872,15630200
2019-01-31,2019-01-31,50130259,6076,40014154
2019-02-28,2019-02-28,50130259,6575,46043704
2019-03-31,2019-03-31,50130259,7209,50507700
2019-04-30,2019-04-30,50130259,8041,55663526
2019-05-31,2019-05-31,50130259,9552,58067944
2019-06-30,2019-06-30,50130259,9939,57757046
2019-07-31,2019-07-31,50130259,10931,62051614
2019-08-31,2019-08-31,50130259,11207,63509160
2019-09-30,2019-09-30,50130259,8344,49593693
2019-10-31,2019-10-31,50130259,8527,51296900
2019-11-30,2019-11-30,50130259,7814,47126600
2019-12-31,2019-12-31,50130259,8005,47381500
2020-01-31,2020-01-31,50130259,9759,53259250
2020-02-29,2020-02-29,50130259,8833,43668750
2020-03-31,2020-03-31,50130259,9955,46373628
2020-04-30,2020-04-30,50130259,9863,42885800
2020-05-31,2020-05-31,50130259,11917,52756684
2020-06-30,2020-06-30,50130259,11813,58983672
2020-07-31,2020-07-31,50130259,11872,59437456
2020-08-31,2020-08-31,50130259,15375,82187750
2020-09-30,2020-09-30,50130259,13867,64840500
2020-10-31,2020-10-31,50130259,13068,65917800
2020-11-30,2020-11-30,50130259,11457,62781150
2020-12-31,2020-12-31,50130259,10956,58846300
2021-01-31,2021-01-31,50130259,9800,51552400
2021-02-28,2021-02-28,50130259,9721,54796550
2021-03-31,2021-03-31,50130259,11156,60014350
2021-04-30,2021-04-30,50130259,11484,63529350
2021-05-31,2021-05-31,50130259,11459,57482500
2021-06-30,2021-06-30,50130259,17581,85688760
2018-01-31,2018-01-31,50130310,2664,10007850
2018-02-28,2018-02-28,50130310,2387,8852300
2018-03-31,2018-03-31,50130310,2712,9981250
2018-04-30,2018-04-30,50130310,2817,9588800
2018-05-31,2018-05-31,50130310,3288,10540150
2018-06-30,2018-06-30,50130310,3493,10782750
2018-07-31,2018-07-31,50130310,4139,11881650
2018-08-31,2018-08-31,50130310,4060,11208700
2018-09-30,2018-09-30,50130310,3623,9638350
2018-10-31,2018-10-31,50130310,3398,9233950
2018-11-30,2018-11-30,50130310,3175,9171400
2018-12-31,2018-12-31,50130310,3287,10940800
2019-01-31,2019-01-31,50130310,5037,19138700
2019-02-28,2019-02-28,50130310,5365,21553400
2019-03-31,2019-03-31,50130310,6168,24666050
2019-04-30,2019-04-30,50130310,6535,24347150
2019-05-31,2019-05-31,50130310,7749,27228750
2019-06-30,2019-06-30,50130310,8549,29946400
2019-07-31,2019-07-31,50130310,10481,35578550
2019-08-31,2019-08-31,50130310,12171,42604400
2019-09-30,2019-09-30,50130310,6661,22078850
2019-10-31,2019-10-31,50130310,8470,28175450
2019-11-30,2019-11-30,50130310,9059,32506550
2019-12-31,2019-12-31,50130310,8997,35027700
2020-01-31,2020-01-31,50130310,9399,37625800
2020-02-29,2020-02-29,50130310,8489,34189050
2020-03-31,2020-03-31,50130310,9668,36068850
2020-04-30,2020-04-30,50130310,9656,35376349
2020-05-31,2020-05-31,50130310,11779,41537000
2020-06-30,2020-06-30,50130310,11814,42982400
2020-07-31,2020-07-31,50130310,12480,43152748
2020-08-31,2020-08-31,50130310,13596,48238800
2020-09-30,2020-09-30,50130310,11245,33174850
2020-10-31,2020-10-31,50130310,10918,35010700
2020-11-30,2020-11-30,50130310,10481,35431850
2020-12-31,2020-12-31,50130310,9953,33677650
2021-01-31,2021-01-31,50130310,9832,33522600
2021-02-28,2021-02-28,50130310,9544,35158950
2021-03-31,2021-03-31,50130310,10760,39511350
2021-04-30,2021-04-30,50130310,11464,40209250
2021-05-31,2021-05-31,50130310,13399,44037200
2021-06-30,2021-06-30,50130310,13805,46467450
2018-01-31,2018-01-31,50130320,3191,12716050
2018-02-28,2018-02-28,50130320,2856,12179050
2018-03-31,2018-03-31,50130320,3439,14019100
2018-04-30,2018-04-30,50130320,3368,12664250
2018-05-31,2018-05-31,50130320,3804,13883650
2018-06-30,2018-06-30,50130320,3327,11408250
2018-07-31,2018-07-31,50130320,3811,14408100
2018-08-31,2018-08-31,50130320,4018,14854050
2018-09-30,2018-09-30,50130320,3176,11215400
2018-10-31,2018-10-31,50130320,3314,11938300
2018-11-30,2018-11-30,50130320,3763,14475350
2018-12-31,2018-12-31,50130320,3308,14665050
2019-01-31,2019-01-31,50130320,4100,20991050
2019-02-28,2019-02-28,50130320,2853,14571100
2019-03-31,2019-03-31,50130320,3510,18216400
2019-04-30,2019-04-30,50130320,4157,20965700
2019-05-31,2019-05-31,50130320,5625,28076437
2019-06-30,2019-06-30,50130320,6005,28636832
2019-07-31,2019-07-31,50130320,6921,31228127
2019-08-31,2019-08-31,50130320,6502,30137218
2019-09-30,2019-09-30,50130320,5349,24986098
2019-10-31,2019-10-31,50130320,5447,25509020
2019-11-30,2019-11-30,50130320,4955,26473950
2019-12-31,2019-12-31,50130320,4708,25286650
2020-01-31,2020-01-31,50130320,4422,24304300
2020-02-29,2020-02-29,50130320,4703,22631468
2020-03-31,2020-03-31,50130320,5875,24271100
2020-04-30,2020-04-30,50130320,6189,24914300
2020-05-31,2020-05-31,50130320,7464,30647673
